acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
8,08E+15;5,59E+15;34;341;173868;-12008;413;0,000131;;0
902;324;361;958;11042;-9591;314;64400000000;;0
787;358;294;211;80483;-1759;653;7;;0
3,63E+13;336;731;207;91933;-6504;426;779;;0
12;6,41E+15;875;642;1,36073E+16;-4695;782;0;0;0
858;461;604;3,93E+15;153042;-7,448E+15;298;264;;0
105;8,37E+15;882;979;149968;-6,452E+15;482;0,00495;80;0
156;579;679;6,41E+15;1,44177E+16;-7755;323;0,00446;;0
975;7,02E+15;514;326;83015;-13803;935;0;;0
421;6,81E+15;711;6,89E+15;154974;-6699;925;0;;0
977;4,64E+15;198;44;68653;-17281;425;857;0;0
882;0;115;0;0;-16815;0;853;;0
3,38E+15;496;569;961;1,40301E+16;-15884;296;92;;0
98;209;152;377;137376;-17125;33;918;;0
861;211;37;53;75964;-16399;363;853;;0
779;767;555;695;112001;-9918;867;81;0;0
972;3,34E+15;239;182;69958;-16627;329;934;;0
755;455;25;256;79702;-1536;331;0;;0
727;695;7,29E+15;851;143871;-6,842E+16;632;87;;0
612;593;176;302;65595;-8195;326;0,000223;;0
6,63E+15;606;48;341;90005;-11028;2,8E+14;644;;0
186;6,61E+15;429;481;99013;-13915;282;826;;0
16;74;537;27;123976;-10958;408;0,000187;;0
606;4,64E+15;875;196;97927;-632;465;0;120;0
6,41E+15;655;718;875;1,39932E+16;-307;151;0;;0
172;6,46E+15;5,66E+15;61;168517;-1,3051E+16;409;0,000102;40;0
1,67E+15;4,63E+15;2,29E+15;135;73543;-12592;297;997;720;1
986;3,78E+15;631;591;129595;-2703;495;87;;0
8,32E+15;351;249;3,39E+15;90811;-11034;319;0;0;0
392;758;435;4,63E+15;128042;-10811;226;0;;0
947;1,67E+15;349;633;160707;-13099;315;181;10;0
82;216;223;222;197647;-12965;334;202;;0
655;416;649;474;112482;-5271;385;0,000282;670;1
884;843;241;5,49E+15;115397;-12177;487;2,04E+13;;0
83;166;307;582;174351;-1,7603E+16;453;8,11E+15;;0
531;763;628;193;140958;-585;5;0;790;1
864;7,34E+15;4,48E+15;259;103019;-13914;464;882;40;0
993;291;234;243;8193;-26265;569;126;;0
