acousticness,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,track_popularity,is_hit
0.755,0.753,0.922,0.87,97.36,-5.154,0.0771,0.0711,54.0,1
0.792,0.541,0.4429999999999999,0.506,145.819,-7.862999999999999,0.0287,0.0,0.0,0
0.000227,0.4589999999999999,0.904,0.375,102.026,-7.688,0.0598,6.41e-06,,0
0.0127,0.6559999999999999,0.7170000000000001,0.809,123.988,-4.871,0.0279,1.22e-05,62.0,1
0.759,0.613,0.386,0.249,100.624,-12.640999999999998,0.0372,0.256,,0
0.00257,0.407,0.893,0.627,220.069,-7.582000000000002,0.0911,0.0218,,0
0.000989,0.602,0.955,0.193,126.009,-4.888,0.154,0.0133,57.0,1
0.0028699999999999,0.8290000000000001,0.574,0.231,125.017,-7.724,0.0544,0.0194,,0
0.0159,0.444,0.979,0.214,150.004,-1.924,0.472,0.228,,0
0.00325,0.5579999999999999,0.655,0.5539999999999999,130.049,-6.006,0.0284,0.0255,,0
0.701,0.495,0.498,0.32,133.99200000000002,-7.023,0.0337,0.0,65.0,1
0.135,0.488,0.361,0.5,196.813,-7.682,0.209,0.0,56.0,1
0.961,0.425,0.364,0.8420000000000001,203.856,-9.907,0.0508,0.0,,0
0.0021899999999999,0.7879999999999999,0.8740000000000001,0.629,126.988,-3.3360000000000003,0.0805,0.00231,53.0,1
0.0233,0.746,0.92,0.3429999999999999,121.002,-4.053,0.209,0.113,,0
0.00637,0.679,0.89,0.97,135.02200000000002,-5.513999999999999,0.0315,0.00407,51.0,1
0.00602,0.628,0.5710000000000001,0.465,119.894,-3.897,0.0631,8.89e-05,64.0,1
0.0117,0.838,0.7709999999999999,0.405,175.957,-3.791,0.244,0.0,71.0,1
0.615,0.495,0.418,0.4,121.312,-9.81,0.0272,0.00322,,0
0.0714,0.763,0.807,0.5589999999999999,103.038,-3.714,0.035,0.28,77.0,1
0.37,0.385,0.718,0.471,137.27100000000002,-6.919,0.0427,0.0,,0
0.000321,0.467,0.883,0.309,122.252,-3.679,0.106,0.000152,73.0,1
0.000177,0.195,0.961,0.3289999999999999,93.833,-5.65,0.0938,0.0125,,0
0.813,0.703,0.914,0.785,130.498,-6.047999999999999,0.0902,0.3929999999999999,,0
0.608,0.954,0.41,0.457,130.07399999999998,-7.725,0.157,1.76e-05,69.0,1
0.0104,0.616,0.6409999999999999,0.134,107.979,-6.6960000000000015,0.0354,0.0,53.0,1
0.0133,0.695,0.8140000000000001,0.882,105.011,-5.294,0.066,0.0984,64.0,1
0.0933,0.8340000000000001,0.894,0.531,93.532,-8.631,0.377,1.24e-05,,0
0.0142,0.648,0.759,0.518,85.99600000000002,-4.315,0.306,0.0,70.0,1
9e-05,0.48,0.983,0.407,91.909,-3.492,0.12,0.000371,,0
0.976,0.371,0.0462,0.158,104.411,-16.561,0.0336,0.0157,0.0,0
0.0323,0.62,0.8640000000000001,0.395,98.059,-4.334,0.114,0.0,74.0,1
0.0080299999999999,0.449,0.872,0.815,163.078,-6.1560000000000015,0.0441,6.25e-05,,0
0.0669,0.636,0.841,0.362,170.013,-9.358,0.115,0.00224,,0
0.802,0.546,0.5,0.449,150.92,-8.881,0.0379,0.00108,73.0,1
0.838,0.599,0.6509999999999999,0.948,109.884,-9.174,0.0704,0.00365,,0
0.841,0.639,0.242,0.308,92.797,-12.952,0.0813,1.57e-06,,0
0.0409,0.532,0.8420000000000001,0.67,90.187,-5.754,0.0503,0.0,66.0,1
0.000251,0.482,0.716,0.639,91.375,-7.345,0.0533,0.429,,0
0.061,0.6970000000000001,0.706,0.385,92.065,-5.6720000000000015,0.0248,0.0,55.0,1
0.705,0.321,0.518,0.357,184.764,-10.657,0.0594,0.00504,0.0,0
3.44e-05,0.434,0.994,0.15,95.171,-5.1080000000000005,0.0836,0.0293,51.0,1
0.35,0.535,0.574,0.445,84.984,-6.865,0.0372,9.96e-05,54.0,1
0.13,0.4579999999999999,0.4529999999999999,0.294,75.018,-10.629,0.0267,0.0271,,0
0.111,0.731,0.536,0.466,135.033,-7.351,0.103,0.0,,0
0.926,0.5660000000000001,0.0665,0.193,70.267,-11.782,0.0577,0.0,,0
0.0187,0.565,0.534,0.747,142.245,-9.413,0.0523,0.0017399999999999,0.0,0
0.23,0.23,0.295,0.0365,95.929,-15.553,0.0371,0.431,0.0,0
0.0132,0.615,0.947,0.498,108.193,-3.817,0.11,0.0,61.0,1
0.00134,0.3670000000000001,0.618,0.275,136.726,-4.472,0.0333,2.79e-05,9.0,0
0.363,0.868,0.6890000000000001,0.8959999999999999,140.02200000000002,-9.353,0.166,0.0,,0
